Kode_Akun,Nama_Akun,Qty,Satuan,HargaSatuan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
4.2.1.1.01,Bosnas Semester 1 (Juli-Desember),0,,0,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000
4.2.1.1.02,Bosnas Semester 2 (Januari-Juni),0,,0,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000
4.2.1.2.01,BOP Semester 1 (Juli-Desember),0,,0,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000
4.2.1.2.02,BOP Semester 2 (Januari-Juni),0,,0,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000
4.2.1.3,BANSOS/DAK/Hibah,0,,0,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000
4.2.1.4.01,UN,0,,0,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000
4.2.1.4.02,APBN Lain,0,,0,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000
4.2.2.1.01,Bosda Semester 1 (Juli-Desember),0,,0,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000
4.2.2.1.02,Bosda Semester 2 (Januari-Juni),0,,0,0,0,0,0,0,0,0,0,0,0,0,0
4.2.2.2,Gaji Guru dan Karyawan DPK,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
4.2.2.3,Bantuan Lain-lain,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
4.3.1.01,Pendapatan Koperasi Sekolah,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
4.3.1.02,Pendapatan Kantin Sekolah,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
4.3.2.01,Sumbangan dari Orang Tua,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
4.3.2.02,Sumbangan dari Alumni,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
4.3.2.03,Sumbangan dari Gereja,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
4.3.2.04,Sumbangan Lainnya,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.1.1.01,Iuran Pensiun Yadapen,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.1.1.02,Iuran BPJS Kesehatan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.1.1.03,Iuran BPJS Tenaga Kerja,0,,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
5.1.2.01,Gaji Guru Tetap Yayasan,0,,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
5.1.2.02,Gaji Karyawan Tetap Yayasan,0,,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
5.1.2.03,Gaji Guru Tidak Tetap Yayasan,0,,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,0,,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
5.1.3.01,Pembayaran Honor Guru / Guru Ekstrakurikuler,0,,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
5.1.3.02,Pembayaran Honor Tenaga Kependidikan,0,,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
5.1.3.03,Pembayaran Honor Kelebihan Mengajar,0,,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
5.1.4.01,Pembayaran Honor Guru / Guru Ekstrakurikuler,0,,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
5.1.4.02,Pembayaran Honor Tenaga Kependidikan,0,,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
5.1.4.03,Pembayaran Honor Kelebihan Mengajar,0,,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
5.2.1.01,Penyusunan Aneka Pedoman Belajar,0,,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
5.2.1.02,Pelaksanaan Kegiatan Pengembangan Siswa,0,,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
5.2.1.03,Pelaksanaan Penunjang Pembelajaran,0,,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
5.2.2.01,Penyusunan Program Perpustakaan,0,,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
5.2.2.02,Penyusunan Program Rutin Pembelajaran,0,,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
5.2.2.03,Penyusunan Program Pengelolaan Laboratorium,0,,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
5.2.2.04,Penyusunan Program Ekstrakurikuler,0,,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
5.2.2.05,Pengadaan Buku LKS/Majalah,0,,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
5.2.3.01,Pengelolaan Media Pembelajaran Cetak,0,,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
5.2.3.02,Pelaksanaan Program Kesiswaan,0,,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
5.2.3.03,Pelaksanaan Pendaftaran Peserta Didik Baru (PPDB),0,,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
5.2.3.04,Pengadaan Sarana Penunjang Kegiatan Belajar Mengajar,0,,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
5.2.3.05,Pendataan Dapodik,0,,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
5.2.3.06,Usaha Kesehatan Sekolah (UKS); Peralatan dan/atau Obat-obatan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.3.07,Peningkatan Kompetensi Guru,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.3.08,Pengembangan Inovasi Sekolah,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.3.09,Bantuan Siswa Miskin,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.4.01,Pembinaan Pendidik,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.4.02,Pembinaan Tenaga Kependidikan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.4.03,Pembinaan Administrasi Sekolah,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.4.04,Pembuatan Media Pembelajaran,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.5.01,Pengadaan Peralatan / Perlengkapan Kantor,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.5.02,Pengadaan / Peningkatan Instalasi,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.5.03,Pengembangan Database Perpustakaan dan Perpustakaan Elektronik (e - library),0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.5.04,Pengadaan Sarana Pembelajaran,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.5.05,Pengadaan Mebelair,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.5.06,Pembangunan / Penambahan Bangunan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.5.07,Pemeliharaan Peralatan / Perlengkapan Kantor,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.5.08,Pemeliharaan Instalasi,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.5.09,Pemeliharaan Sarana Pembelajaran,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.5.10,Pemeliharaan Mebelair,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.5.11,Pemeliharaan Bangunan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.5.12,Pemeliharaan Kebersihan Bangunan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.6.01,Kerjasama dengan Sekolah Lain,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.6.02,Program; Supervisi; Monitoring; Evaluasi; Laporan ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.6.03,Pelaksanaan Rapat,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.6.04,Pengembangan Sistem Informasi Manajemen,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.6.05,Pengelolaan Inventaris Barang,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.6.06,Penyelenggaraan Lintas Alam,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.7.01,Akreditasi sekolah,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.7.02,Biaya transportasi untuk urusan dana BOS,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.7.03,Honor bagi penyusun laporan BOS,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.7.04,Keperluan Konsumsi,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.7.05,Pembayaran Iuran Internet,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.7.06,Pembayaran Langganan Air,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.7.07,Pembayaran Rekening Listrik,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.7.08,Pembayaran Rekening Telepon,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.7.09,Pembayaran Retribusi Keamanan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.7.10,Pembayaran Retribusi Sampah,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.7.11,Pengadaan ATK,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.7.12,Pengadaan Kebutuhan Rumah Tangga,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.7.13,Pembayaran Keperluan Administrasi,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.7.14,Penyediaan Pembiayaan untuk Studi Lanjut Pendidik/Tenaga Kependidikan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.7.15,Penyelenggaraan Penerimaan Sumbangan Pendidikan dari Masyarakat,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.7.16,Pelaksanaan Workshop,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.8.01,Pelaksanaan Sistem Penilaian,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.8.02,Pelaksanaan Penilaian,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.8.03,Pelatihan-pelatihan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.8.04,Pengembangan Sekolah Hijau,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.1.01,Penyusunan Aneka Pedoman Belajar,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.1.02,Pelaksanaan Kegiatan Pengembangan Siswa,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.1.03,Pelaksanaan Penunjang Pembelajaran,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.2.01,Penyusunan Program Perpustakaan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.2.02,Penyusunan Program Rutin Pembelajaran,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.2.03,Penyusunan Program Pengelolaan Laboratorium,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.2.04,Penyusunan Program Ekstrakurikuler,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.2.05,Pengadaan Buku LKS/Majalah,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.3.01,Pengelolaan Media Pembelajaran Cetak,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.3.02,Pelaksanaan Program Kesiswaan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.3.03,Pelaksanaan Pendaftaran Peserta Didik Baru (PPDB),0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.3.04,Pengadaan Sarana Penunjang Kegiatan Belajar Mengajar,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.3.05,Pendataan Dapodik,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.3.06,Usaha Kesehatan Sekolah (UKS); Peralatan dan/atau Obat-obatan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.3.07,Peningkatan Kompetensi Guru,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.3.08,Pengembangan Inovasi Sekolah,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.3.09,Bantuan Siswa Miskin,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.4.01,Pembinaan Pendidik,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.4.02,Pembinaan Tenaga Kependidikan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.4.03,Pembinaan Administrasi Sekolah,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.4.04,Pembuatan Media Pembelajaran,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.5.01,Pengadaan Peralatan / Perlengkapan Kantor,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.5.02,Pengadaan / Peningkatan Instalasi,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.5.03,Pengembangan Database Perpustakaan dan Perpustakaan Elektronik (e - library),0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.5.04,Pengadaan Sarana Pembelajaran,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.5.05,Pengadaan Mebelair,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.5.06,Pembangunan / Penambahan Bangunan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.5.07,Pemeliharaan Peralatan / Perlengkapan Kantor,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.5.08,Pemeliharaan Instalasi,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.5.09,Pemeliharaan Sarana Pembelajaran,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.5.10,Pemeliharaan Mebelair,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.5.11,Pemeliharaan Bangunan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.5.12,Pemeliharaan Kebersihan Bangunan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.6.01,Kerjasama dengan Sekolah Lain,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.6.02,Program; Supervisi; Monitoring; Evaluasi; Laporan ,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.6.03,Pelaksanaan Rapat,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.6.04,Pengembangan Sistem Informasi Manajemen,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.6.05,Pengelolaan Inventaris Barang,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.6.06,Penyelenggaraan Lintas Alam,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.7.01,Akreditasi sekolah,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.7.02,Biaya transportasi untuk urusan dana BOS,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.7.03,Honor bagi penyusun laporan BOS,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3.7.04,Keperluan Konsumsi,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
